REDE,CLIENTE,LATITUDE,LONGITUDE,BAIRRO,CLASSE SOCIAL,CIDADE,TIPO COMERCIAL,Pontos de Interesse,num_pois,cluster
COMETA,COMETA (EUSEBIO),-3.8795207,-38.4613795,COITE,B,EUSEBIO,SUPER REGIONAIS,,20,0
COMETA,COMETA (EXPRESS 01),-3.76752651,-38.55298701,MONTESE,B,FORTALEZA,SUPER REGIONAIS,,20,2
COMETA,COMETA (EXPRESS 02),-3.76328481,-38.54773512,MONTESE,B,FORTALEZA,SUPER REGIONAIS,,20,2
COMETA,COMETA (FATIMA),-3.7532492,-38.5276962,FATIMA,B,FORTALEZA,SUPER REGIONAIS,,20,2
COMETA,COMETA (FREI CIRILO),-3.8194034,-38.4963739,MESSEJANA,C,FORTALEZA,SUPER REGIONAIS,,20,0
COMETA,COMETA (HENRIQUE JORGE),-3.7598094,-38.5861946,HENRIQUE JORGE,C,FORTALEZA,SUPER REGIONAIS,,20,1
COMETA,COMETA (ILDEFONSO ALBANO),-3.7407932,-38.516113,JOAQUIM TAVORA,B,FORTALEZA,SUPER REGIONAIS,,20,2
COMETA,COMETA (J DA PENHA),-3.7374817,-38.5204755,CENTRO,C,FORTALEZA,SUPER REGIONAIS,,20,2
COMETA,COMETA (JACARECANGA),-3.72013,-38.54911,JACARECANGA,C,FORTALEZA,SUPER REGIONAIS,,20,2
COMETA,COMETA (JOAO CARLOS),-3.782635,-38.5538401,SERRINHA,C,FORTALEZA,SUPER REGIONAIS,,20,1
COMETA,COMETA (JOAO PESSOA),-3.7570117,-38.5530651,DAMAS,C,FORTALEZA,SUPER REGIONAIS,,20,2
COMETA,COMETA (JOAO XXIII),-3.77305558,-38.57358276,JOQUEI CLUBE,B,FORTALEZA,SUPER REGIONAIS,,20,2
COMETA,COMETA (JOAQUIM FELICIO),-3.8301305,-38.4875383,MESSEJANA,C,FORTALEZA,SUPER REGIONAIS,,20,0
COMETA,COMETA (JOSE LEON),-3.7882169,-38.50204381,CIDADE DOS FUNCIONARIOS,B,FORTALEZA,SUPER REGIONAIS,,20,0
COMETA,COMETA (JOSE WALTER 01),-3.83055313,-38.56049735,PREFEITO JOSE WALTER,C,FORTALEZA,SUPER REGIONAIS,,20,1
COMETA,COMETA (JOSE WALTER 02),-3.8298586,-38.55165528,PREJEITO JOSE WALTER,C,FORTALEZA,SUPER REGIONAIS,,20,1
COMETA,COMETA (JOVITA FEITOSA),-3.7403104,-38.5603054,PARQUELANDIA,B,FORTALEZA,SUPER REGIONAIS,,20,2
COMETA,COMETA (JULIO LIMA),-3.7960364,-38.4990562,CIDADE DOS FUNCIONARIOS,B,FORTALEZA,SUPER REGIONAIS,,20,0
COMETA,COMETA (MARACANAU),-3.8819005,-38.62523,BOA VISTA,C,MARACANAU,SUPER REGIONAIS,,20,1
COMETA,COMETA (MARAPONGA),-3.79182527,-38.5671401,MARAPONGA,B,FORTALEZA,SUPER REGIONAIS,,20,2
COMETA,COMETA (MATOS DOURADO),-3.7498338,-38.5846885,DOM LUSTOSA,C,FORTALEZA,SUPER REGIONAIS,,20,2
COMETA,COMETA (MESSEJANA),-3.8194224,-38.4817816,MESSEJANA,C,FORTALEZA,SUPER REGIONAIS,,20,0
COMETA,COMETA (MONDUBIM),-3.81050075,-38.57394099,MONDUBIM,B,FORTALEZA,SUPER REGIONAIS,,20,1
COMETA,COMETA (OLIVEIRA PAIVA),-3.7955137,-38.4901664,PARQUE MANIBURA,C,FORTALEZA,SUPER REGIONAIS,,20,0
COMETA,COMETA (OSORIO DE PAIVA),-3.8109052,-38.6092229,SIQUEIRA,C,FORTALEZA,SUPER REGIONAIS,,20,1
COMETA,COMETA (PASSARE),-3.79093331,-38.53740405,SERRINHA,C,FORTALEZA,SUPER REGIONAIS,,20,1
COMETA,COMETA (PATIO OLIVEIRA PAIVA),-3.79612714,-38.49383649,CIDADE DOS FUNCIONARIOS,B,FORTALEZA,SUPER REGIONAIS,,20,0
COMETA,COMETA (PE ANTONIO TOMAS),-3.7411919,-38.4958533,ALDEOTA,A,FORTALEZA,SUPER REGIONAIS,,20,4
COMETA,COMETA (PINTO MADEIRA),-3.7338116,-38.5136501,ALDEOTA,A,FORTALEZA,SUPER REGIONAIS,,20,4
COMETA,COMETA (PRESIDENTE KENNEDY),-3.7302312,-38.568373,PRESIDENTE KENNEDY,B,FORTALEZA,SUPER REGIONAIS,,20,2
COMETA,COMETA (SERRINHA),-3.787502,-38.547114,SERRINHA,C,FORTALEZA,SUPER REGIONAIS,,20,1
COMETA,COMETA (SIQUEIRA),-3.789045,-38.5864455,VILA PERI,C,FORTALEZA,SUPER REGIONAIS,,20,1
COMETA,COMETA (TIBURCIO CAVALCANTE),-3.7411822,-38.5041525,ALDEOTA,A,FORTALEZA,SUPER REGIONAIS,,20,4
COMETA,COMETA (TREZE DE MAIO),-3.7495749,-38.5285489,FATIMA,B,FORTALEZA,SUPER REGIONAIS,,20,2
COMETA,COMETA (VILA VELHA),-3.7233183,-38.5963513,VILA VELHA,C,FORTALEZA,SUPER REGIONAIS,,20,2
COMETA,COMETA (VIRGILIO TAVORA),-3.7344387,-38.4922603,MEIRELES,A,FORTALEZA,SUPER REGIONAIS,,20,4
COMETA,COMETA (WALDIR DIOGO),-3.8009513,-38.586656,NOVO MONDUBIM,C,FORTALEZA,SUPER REGIONAIS,,20,1
GPA,EXTRA - OLIVEIRA PAIVA,-3.7964091,-38.4936977,CIDADE DOS FUNCIONARIOS,B,FORTALEZA,SUPER NACIONAL,,20,0
GPA,EXTRA - RODOVIARIA (1404),-3.7555418,-38.5303956,FATIMA,B,FORTALEZA,SUPER NACIONAL,,20,2
GPA,EXTRA - WASHINGTON SOARES,-3.7929007,-38.4796933,SEIS BOCAS,C,FORTALEZA,SUPER NACIONAL,,20,0
FRANGOLANDIA,FRANGOLANDIA - CD,-3.8546626,-38.6021541,DISTRITO INDUSTRIAL I,C,MARACANAU,SUPER REGIONAIS,,5,3
SUPER LAGOA,LAG - BARRA DO CEARA,-3.70214343,-38.58428755,BARRA DO CEARA,B,FORTALEZA,PEQUENOS REGIONAIS,,20,2
SUPER LAGOA,LAG - MESSEJANA,-3.832713,-38.4916446,MESSEJANA,C,FORTALEZA,PEQUENOS REGIONAIS,,20,0
SUPER LAGOA,LAG - MONDUBIM,-3.8165367,-38.557137,MONDUBIM,B,FORTALEZA,PEQUENOS REGIONAIS,,20,1
MIX MATEUS,MATEUS - CAUCAIA,-3.76132708,-38.61643438,PARQUE GUADALAJARA (JUREMA),C,CAUCAIA,ATACAREJO NACIONAL,,20,1
MIX MATEUS,MATEUS - HENRIQUE JORGE,-3.75714249,-38.59061584,DOM LUSTOSA,C,FORTALEZA,ATACAREJO NACIONAL,,20,1
MIX MATEUS,MATEUS - JOSE WALTER,-3.8207176,-38.55885136,MONDUBIM,C,FORTALEZA,ATACAREJO NACIONAL,,20,1
MIX MATEUS,MATEUS - MARACANAU,-3.87830719,-38.59641157,PAJUCARA,C,MARACANAU,ATACAREJO NACIONAL,,20,1
MIX MATEUS,MATEUS - MARANGUAPE,-3.89666198,-38.67373332,TANGUEIRA,C,MARANGUAPE,ATACAREJO NACIONAL,,20,1
GPA,PAO DE ACUCAR - AGUANAMBI (1398),-3.748629,-38.5229264,FATIMA,B,FORTALEZA,SUPER NACIONAL,,20,2
GPA,PAO DE ACUCAR - ALDEOTA (1249),-3.73407602,-38.49686086,ALDEOTA,A,FORTALEZA,SUPER NACIONAL,,20,4
